"","Age.band","Date","Gender","count","total","share","sharediff","yvar","grp"
"1","< 29",2010,"Female",-41620,527480,-0.0789034655342383,-0.0342135941309036,-0.0789034655342383,"Female 2010"
"2","< 29",2010,"Male",31950,527480,0.0605710169105938,-0.0342135941309036,0.0605710169105938,"Male 2010"
"3","< 29",2012,"Female",-26900,463800,-0.0579991375592928,-0.0342135941309036,-0.0579991375592928,"Female 2012"
"4","< 29",2012,"Male",21920,463800,0.0472617507546356,-0.0342135941309036,0.0472617507546356,"Male 2012"
"5","30-39",2010,"Female",-63020,527480,-0.119473724122242,-0.00135021479103145,-0.119473724122242,"Female 2010"
"6","30-39",2010,"Male",48670,527480,0.0922689011905665,-0.00135021479103145,0.0922689011905665,"Male 2010"
"7","30-39",2012,"Female",-54840,463800,-0.118240620957309,-0.00135021479103145,-0.118240620957309,"Female 2012"
"8","30-39",2012,"Male",42740,463800,0.0921517895644674,-0.00135021479103145,0.0921517895644674,"Male 2012"
"9","40-49",2010,"Female",-95300,527480,-0.18067035716994,0.00253648769370618,-0.18067035716994,"Female 2010"
"10","40-49",2010,"Male",76880,527480,0.14574960188064,0.00253648769370618,0.14574960188064,"Male 2010"
"11","40-49",2012,"Female",-84190,463800,-0.18152220784821,0.00253648769370618,-0.18152220784821,"Female 2012"
"12","40-49",2012,"Male",68380,463800,0.147434238896076,0.00253648769370618,0.147434238896076,"Male 2012"
"13","50-59",2010,"Female",-67210,527480,-0.127417153256996,0.0240077427385216,-0.127417153256996,"Female 2010"
"14","50-59",2010,"Male",68510,527480,0.129881701675893,0.0240077427385216,0.129881701675893,"Male 2010"
"15","50-59",2012,"Female",-66660,463800,-0.14372574385511,0.0240077427385216,-0.14372574385511,"Female 2012"
"16","50-59",2012,"Male",63810,463800,0.1375808538163,0.0240077427385216,0.1375808538163,"Male 2012"
"17","60-64",2010,"Female",-10940,527480,-0.0207401228482596,0.00404756726417843,-0.0207401228482596,"Female 2010"
"18","60-64",2010,"Male",18940,527480,0.035906574656859,0.00404756726417843,0.035906574656859,"Male 2010"
"19","60-64",2012,"Female",-11230,463800,-0.0242130228546787,0.00404756726417843,-0.0242130228546787,"Female 2012"
"20","60-64",2012,"Male",16920,463800,0.0364812419146184,0.00404756726417843,0.0364812419146184,"Male 2012"
"21","65 +",2010,"Female",-1590,527480,-0.00301433229695913,0.00525638219694001,-0.00301433229695913,"Female 2010"
"22","65 +",2010,"Male",2700,527480,0.00511867748540229,0.00525638219694001,0.00511867748540229,"Male 2010"
"23","65 +",2012,"Female",-2280,463800,-0.00491591203104787,0.00525638219694001,-0.00491591203104787,"Female 2012"
"24","65 +",2012,"Male",3930,463800,0.00847347994825356,0.00525638219694001,0.00847347994825356,"Male 2012"
