Profession,Category,Note_profgroup
Communications and Marketing,Communications & marketing,
Economics,Insight & analysis,
Engineering,Specialist,
Finance,Corporate,
Human Resources,Corporate,
Information Technology,Corporate,
Inspector of Education and Training,Specialist,
Internal Audit,Corporate,
Knowledge and Information Management,Insight & analysis,
Law,Specialist,
Medicine,Specialist,
Operational Delivery,Operational delivery,
Operational Research,Specialist,
Planning,Specialist,
Policy Delivery,Policy,
Procurement and Contract Management,Corporate,?
Programme and Project Management,Operational delivery,?
Property Asset Management,Corporate,
Psychology,Specialist,
Science,Specialist,
Social and Market Research,Insight & analysis,
Statistics,Insight & analysis,
Tax Professionals,Operational delivery,
Veterinarian,Specialist,
Other,Other,
Not Reported,Not reported,
Total,Total,
