measure,questiontext
B01,I am interested in my work
B02,I am sufficiently challenged by my work
B03,My work gives me a sense of personal accomplishment
B04,I feel involved in the decisions that affect my work
B05,I have a choice in deciding how I do my work
B06,I have a clear understanding of [my organisation's] purpose
B07,I have a clear understanding of [my organisation's] objectives
B08,I understand how my work contributes to [my organisation's] objectives
B09,My manager motivates me to be more effective in my job
B10,My manager is considerate of my life outside work
B11,My manager is open to my ideas
B12,My manager helps me to understand how I contribute to [my organisation's] objectives
B13,"Overall, I have confidence in the decisions made by my manager"
B14,My manager recognises when I have done my job well
B15,I receive regular feedback on my performance
B16,The feedback I receive helps me to improve my performance
B17,I think that my performance is evaluated fairly
B18,Poor performance is dealt with effectively in my team
B19,The people in my team can be relied upon to help when things get difficult in my job
B20,The people in my team work together to find ways to improve the service we provide
B21,The people in my team are encouraged to come up with new and better ways of doing things
B22,I am able to access the right learning and development opportunities when I need to
B23,Learning and development activities I have completed in the past 12 months have helped to improve my performance
B24,There are opportunities for me to develop my career in [my organisation]
B25,Learning and development activities I have completed while working for [my organisation] are helping me to develop my career
B26,I am treated fairly at work
B27,I am treated with respect by the people I work with
B28,I feel valued for the work I do
B29,"I think that [my organisation] respects individual differences (e.g. cultures, working styles, backgrounds, ideas, etc)"
B30,"In my job, I am clear what is expected of me"
B31,I get the information I need to do my job well
B32,I have clear work objectives
B33,I have the skills I need to do my job effectively
B34,I have the tools I need to do my job effectively
B35,I have an acceptable workload
B36,I achieve a good balance between my work life and my private life
B37,I feel that my pay adequately reflects my performance
B38,I am satisfied with the total benefits package
B39,Compared to people doing a similar job in other organisations I feel my pay is reasonable
B40,I feel that [my organisation] as a whole is managed well
B41,[Senior managers] in [my organisation] are sufficiently visible
B42,I believe the actions of [senior managers] are consistent with [my organisation's] values
B43,I believe that [the board has] a clear vision for the future of [my organisation]
B44,"Overall, I have confidence in the decisions made by [my organisation's senior managers]"
B45,I feel that change is managed well in [my organisation]
B46,When changes are made in [my organisation] they are usually for the better
B47,[My organisation] keeps me informed about matters that affect me
B48,I have the opportunity to contribute my views before decisions are made that affect me
B49,I think it is safe to challenge the way things are done in [my organisation]
B50,I am proud when I tell others I am part of [my organisation]
B51,I would recommend [my organisation] as a great place to work
B52,I feel a strong personal attachment to [my organisation]
B53,[My organisation] inspires me to do the best in my job
B54,[My organisation] motivates me to help it achieve its objectives
B55,I believe that [senior managers] in [my organisation] will take action on the results from this survey
B56,I believe that managers where I work will take action on the results from this survey
B57,"Where I work, I think effective action has been taken on the results of the last survey"
B58,I am trusted to carry out my job effectively
B59,"I believe I would be supported if I try a new idea, even if it may not work"
B60,"My performance is evaluated based on whether I get things done, rather than solely follow process"
B61,"When I talk about [my organisation] I say ""we"" rather than ""they”"
B62,I have some really good friendships at work
C01,Which of the following statements most reflects your current thoughts about working for [your organisation]?: I want to leave [my organisation] as soon as possible
C01,Which of the following statements most reflects your current thoughts about working for [your organisation]?: I want to leave [my organisation] within the next 12 months
C01,Which of the following statements most reflects your current thoughts about working for [your organisation]?: I want to stay working for [my organisation] for at least the next year
C01,Which of the following statements most reflects your current thoughts about working for [your organisation]?: I want to stay working for [my organisation] for at least the next three years
D01,Are you aware of the Civil Service Code?
D02,Are you aware of how to raise a concern under the Civil Service Code?
D03,Are you confident that if you raise a concern under the Civil Service Code in [your organisation] it would be investigated properly?
E01,During the past 12 months have you personally experienced discrimination at work?
E03,During the past 12 months have you personally experienced bullying or harassment at work?
Employee engagement index,Employee engagement index
Inclusion and fair treatment,Inclusion and fair treatment
Leadership and managing change,Leadership and managing change
Learning and development,Learning and development
My manager,My manager
My team,My team
My work,My work
Organisational objectives and purpose,Organisational objectives and purpose
Pay and benefits,Pay and benefits
Resources and workload,Resources and workload
W01,"Overall, how satisfied are you with your life nowadays? (% 7-10) (0=not at all satisfied, 10=completely satisfied)"
W02,"Overall, to what extent do you think the things you do in your life are worthwhile? (% 7-10) (0=not at all worthwhile, 10=completely worthwhile)"
W03,"Overall, how happy did you feel yesterday? (% 7-10) (0=not at all happy, 10=completely happy)"
W04,"Overall, how anxious did you feel yesterday? (% 0-3) (0=not at all happy, 10=completely anxious)"
